tyler_id,default_id,dex_number,species,form,name,other_forms,type1,type2,ability1,ability2,ability3,base_hp,base_atk,base_def,base_spa,base_dpd,base_spe,exp_yield,hp_yield,atk_yield,def_yield,spa_yield,spd_yield,spe_yield,class,male_%,female_%,catch_rate,base_friendship,evo_method,evo_condition,evo_time,special_evo,pre_evo,egg_group1,egg_group2,hatch_cycles,exp_group,eviolite
73,825,51,Dugtrio,alola,Dugtrio (Alola Form),"normal, alola",Ground,Steel,Sand Veil,Tangling Hair,Sand Force,35,100,60,50,70,110,149,0,2,0,0,0,0,Mole Pokémon,0.5,0.5,50,70,Level,26,Any,,Diglett (Alola Form),Field,,20,medium_fast,0
74,52,52,Meowth,normal,Meowth,"normal, alola",Normal,,Pickup,Technician,Unnerve,40,45,35,40,40,90,58,0,0,0,0,0,1,Scratch Cat Pokémon,0.5,0.5,255,70,,,Any,,,Field,,20,medium_fast,1
75,826,52,Meowth,alola,Meowth (Alola Form),"normal, alola",Dark,,Pickup,Technician,Rattled,40,35,35,50,40,90,58,0,0,0,0,0,1,Scratch Cat Pokémon,0.5,0.5,255,70,,,Any,,,Field,,20,medium_fast,1
76,53,53,Persian,normal,Persian,"normal, alola",Normal,,Limber,Technician,Unnerve,65,70,60,65,65,115,154,0,0,0,0,0,2,Classy Cat Pokémon,0.5,0.5,90,70,Level,28,Any,,Meowth,Field,,20,medium_fast,0
77,827,53,Persian,alola,Persian (Alola Form),"normal, alola",Dark,,Fur Coat,Technician,Rattled,65,60,60,75,65,115,154,0,0,0,0,0,2,Classy Cat Pokémon,0.5,0.5,90,70,Level,28,Any,,Meowth (Alola Form),Field,,20,medium_fast,0
78,54,54,Psyduck,normal,Psyduck,,Water,,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,64,0,0,0,1,0,0,Duck Pokémon,0.5,0.5,190,70,,,Any,,,Water 1,Field,20,medium_fast,1
79,55,55,Golduck,normal,Golduck,,Water,,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,175,0,0,0,2,0,0,Duck Pokémon,0.5,0.5,75,70,Level,33,Any,,Psyduck,Water 1,Field,20,medium_fast,0
80,56,56,Mankey,normal,Mankey,,Fighting,,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,61,0,1,0,0,0,0,Pig Monkey Pokémon,0.5,0.5,190,70,,,Any,,,Field,,20,medium_fast,1
81,57,57,Primeape,normal,Primeape,,Fighting,,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,159,0,2,0,0,0,0,Pig Monkey Pokémon,0.5,0.5,75,70,Level,28,Any,,Mankey,Field,,20,medium_fast,0
82,58,58,Growlithe,normal,Growlithe,,Fire,,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,70,0,1,0,0,0,0,Puppy Pokémon,0.75,0.25,190,70,,,Any,,,Field,,20,slow,1
83,59,59,Arcanine,normal,Arcanine,,Fire,,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,194,0,2,0,0,0,0,Legendary Pokémon,0.75,0.25,75,70,Stone,Fire Stone,Any,,Growlithe,Field,,20,slow,0
84,60,60,Poliwag,normal,Poliwag,,Water,,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,60,0,0,0,0,0,1,Tadpole Pokémon,0.5,0.5,255,70,,,Any,,,Water 1,,20,medium_slow,1
85,61,61,Poliwhirl,normal,Poliwhirl,,Water,,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,135,0,0,0,0,0,2,Tadpole Pokémon,0.5,0.5,120,70,Level,25,Any,,Poliwag,Water 1,,20,medium_slow,1
86,62,62,Poliwrath,normal,Poliwrath,,Water,Fighting,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,230,0,0,3,0,0,0,Tadpole Pokémon,0.5,0.5,45,70,Stone,Water Stone,Any,,Poliwhirl,Water 1,,20,medium_slow,0
87,63,63,Abra,normal,Abra,,Psychic,,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,62,0,0,0,1,0,0,Psi Pokémon,0.75,0.25,200,70,,,Any,,,Human-Like,,20,medium_slow,1
88,64,64,Kadabra,normal,Kadabra,,Psychic,,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,140,0,0,0,2,0,0,Psi Pokémon,0.75,0.25,100,70,Level,16,Any,,Abra,Human-Like,,20,medium_slow,1
89,65,65,Alakazam,normal,Alakazam,"normal, mega",Psychic,,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,225,0,0,0,3,0,0,Psi Pokémon,0.75,0.25,50,70,Trade,,Any,,Kadabra,Human-Like,,20,medium_slow,0
90,828,65,Alakazam,mega,Alakazam (Mega Alakazam),"normal, mega",Psychic,,Trace,Trace,Trace,55,50,65,175,95,150,270,0,0,0,3,0,0,Psi Pokémon,0.75,0.25,50,70,Mega,,Any,,Alakazam,Human-Like,,20,medium_slow,0
91,66,66,Machop,normal,Machop,,Fighting,,Guts,No Guard,Steadfast,70,80,50,35,35,35,61,0,1,0,0,0,0,Superpower Pokémon,0.75,0.25,180,70,,,Any,,,Human-Like,,20,medium_slow,1
92,67,67,Machoke,normal,Machoke,,Fighting,,Guts,No Guard,Steadfast,80,100,70,50,60,45,142,0,2,0,0,0,0,Superpower Pokémon,0.75,0.25,90,70,Level,28,Any,,Machop,Human-Like,,20,medium_slow,1
93,68,68,Machamp,normal,Machamp,,Fighting,,Guts,No Guard,Steadfast,90,130,80,65,85,55,227,0,3,0,0,0,0,Superpower Pokémon,0.75,0.25,45,70,Trade,,Any,,Machoke,Human-Like,,20,medium_slow,0
94,69,69,Bellsprout,normal,Bellsprout,,Grass,Poison,Chlorophyll,Chlorophyll,Gluttony,50,75,35,70,30,40,60,0,1,0,0,0,0,Flower Pokémon,0.5,0.5,255,70,,,Any,,,Grass,,20,medium_slow,1
95,70,70,Weepinbell,normal,Weepinbell,,Grass,Poison,Chlorophyll,Chlorophyll,Gluttony,65,90,50,85,45,55,137,0,2,0,0,0,0,Flycatcher Pokémon,0.5,0.5,120,70,Level,21,Any,,Bellsprout,Grass,,20,medium_slow,1
96,71,71,Victreebel,normal,Victreebel,,Grass,Poison,Chlorophyll,Chlorophyll,Gluttony,80,105,65,100,70,70,221,0,3,0,0,0,0,Flycatcher Pokémon,0.5,0.5,45,70,Stone,Leaf Stone,Any,,Weepinbell,Grass,,20,medium_slow,0
97,72,72,Tentacool,normal,Tentacool,,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,67,0,0,0,0,1,0,Jellyfish Pokémon,0.5,0.5,190,70,,,Any,,,Water 3,,20,slow,1
98,73,73,Tentacruel,normal,Tentacruel,,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,180,0,0,0,0,2,0,Jellyfish Pokémon,0.5,0.5,60,70,Level,30,Any,,Tentacool,Water 3,,20,slow,0
99,74,74,Geodude,normal,Geodude,"normal, alola",Rock,Ground,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,60,0,0,1,0,0,0,Rock Pokémon,0.5,0.5,255,70,,,Any,,,Mineral,,15,medium_slow,1
100,829,74,Geodude,alola,Geodude (Alola Form),"normal, alola",Rock,Electric,Magnet Pull,Sturdy,Galvanize,40,80,100,30,30,20,60,0,0,1,0,0,0,Rock Pokémon,0.5,0.5,255,70,,,Any,,,Mineral,,15,medium_slow,1
101,75,75,Graveler,normal,Graveler,"normal, alola",Rock,Ground,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,137,0,0,2,0,0,0,Rock Pokémon,0.5,0.5,120,70,Level,25,Any,,Geodude,Mineral,,15,medium_slow,1
102,830,75,Graveler,alola,Graveler (Alola Form),"normal, alola",Rock,Electric,Magnet Pull,Sturdy,Galvanize,55,95,115,45,45,35,137,0,0,2,0,0,0,Rock Pokémon,0.5,0.5,120,70,Level,25,Any,,Geodude (Alola Form),Mineral,,15,medium_slow,1
103,76,76,Golem,normal,Golem,"normal, alola",Rock,Ground,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,223,0,0,3,0,0,0,Megaton Pokémon,0.5,0.5,45,70,Trade,,Any,,Graveler,Mineral,,15,medium_slow,0
104,831,76,Golem,alola,Golem (Alola Form),"normal, alola",Rock,Electric,Magnet Pull,Sturdy,Galvanize,80,120,130,55,65,45,223,0,0,3,0,0,0,Megaton Pokémon,0.5,0.5,45,70,Trade,,Any,,Graveler (Alola Form),Mineral,,15,medium_slow,0
105,77,77,Ponyta,normal,Ponyta,,Fire,,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,82,0,0,0,0,0,1,Fire Horse Pokémon,0.5,0.5,190,70,,,Any,,,Field,,20,medium_fast,1
106,78,78,Rapidash,normal,Rapidash,,Fire,,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,175,0,0,0,0,0,2,Fire Horse Pokémon,0.5,0.5,60,70,Level,40,Any,,Ponyta,Field,,20,medium_fast,0
107,79,79,Slowpoke,normal,Slowpoke,,Water,Psychic,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,63,1,0,0,0,0,0,Dopey Pokémon,0.5,0.5,190,70,,,Any,,,Monster,Water 1,20,medium_fast,1
108,80,80,Slowbro,normal,Slowbro,"normal, mega",Water,Psychic,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,172,0,0,2,0,0,0,Hermit Crab Pokémon,0.5,0.5,75,70,Level,37,Any,,Slowpoke,Monster,Water 1,20,medium_fast,0
109,832,80,Slowbro,mega,Slowbro (Mega Slowbro),"normal, mega",Water,Psychic,Shell Armor,Shell Armor,Shell Armor,95,75,180,130,80,30,207,0,0,2,0,0,0,Hermit Crab Pokémon,0.5,0.5,75,70,Mega,,Any,,Slowbro,Monster,Water 1,20,medium_fast,0
110,81,81,Magnemite,normal,Magnemite,,Electric,Steel,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,65,0,0,0,1,0,0,Magnet Pokémon,,,190,70,,,Any,,,Mineral,,20,medium_fast,1
111,82,82,Magneton,normal,Magneton,,Electric,Steel,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,163,0,0,0,2,0,0,Magnet Pokémon,,,60,70,Level,30,Any,,Magnemite,Mineral,,20,medium_fast,1
112,83,83,Farfetch’d,normal,Farfetch’d,,Normal,Flying,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,132,0,1,0,0,0,0,Wild Duck Pokémon,0.5,0.5,45,70,,,Any,,,Flying,Field,20,medium_fast,0
113,84,84,Doduo,normal,Doduo,,Normal,Flying,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,62,0,1,0,0,0,0,Twin Bird Pokémon,0.5,0.5,190,70,,,Any,,,Flying,,20,medium_fast,1
